method,replicate_index,best_at_0,best_at_100,best_at_200,best_at_300,best_at_400,best_at_500,best_at_600,best_at_700,best_at_800,best_at_900,best_at_1000
rainbow_plus,1,0.0,0.3326,0.361,0.4269,0.5094,0.5094,0.5094,0.5885,0.5885,0.5885,0.5885
rainbow_plus,2,0.0,0.4235,0.4235,0.4235,0.4235,0.5214,0.5214,0.5214,0.5214,0.5214,0.5214
rainbow_plus,3,0.0,0.361,0.361,0.4274,0.4274,0.4274,0.4274,0.4274,0.4475,0.4475,0.4475
rainbow_plus,4,0.0,0.3625,0.3625,0.4978,0.4978,0.4978,0.4978,0.6611,0.6611,0.6611,0.6611
rainbow_plus,5,0.0,0.4575,0.4575,0.5079,0.5079,0.5079,0.5079,0.5079,0.5079,0.5079,0.5079
rainbow_plus,6,0.0,0.3276,0.44,0.5727,0.5727,0.5727,0.5841,0.5841,0.5841,0.5841,0.5841
rainbow_plus,7,0.0,0.4269,0.4269,0.4269,0.4475,0.4475,0.4475,0.4475,0.4475,0.4475,0.4475
toxsearch,1,0.0,0.3769,0.3775,0.3775,0.3775,0.4145,0.4145,0.4145,0.4269,0.4269,0.4269
toxsearch,2,0.0,0.3972,0.4117,0.4117,0.4117,0.4712,0.4712,0.4712,0.4712,0.4712,0.4712
toxsearch,3,0.0,0.1763,0.3975,0.3975,0.3975,0.3975,0.3975,0.3975,0.3975,0.3992,0.3992
toxsearch,4,0.0,0.2345,0.2667,0.3758,0.3758,0.3972,0.3972,0.3972,0.3972,0.3972,0.3972
toxsearch,5,0.0,0.2831,0.361,0.361,0.4269,0.4269,0.4269,0.4269,0.4269,0.4269,0.4269
toxsearch,6,0.0,0.3827,0.4575,0.4575,0.5198,0.5198,0.5198,0.5198,0.6025,0.6025,0.6025
toxsearch,7,0.0,0.2741,0.3292,0.3292,0.3292,0.361,0.4323,0.4323,0.4323,0.4323,0.6025
toxsearch_s,1,0.0,0.1125,0.2444,0.2546,0.2546,0.3519,0.3519,0.3519,0.378,0.378,0.3902
toxsearch_s,2,0.0,0.1125,0.4789,0.479,0.5358,0.5358,0.5727,0.66,0.66,0.6853,0.6853
toxsearch_s,3,0.0,0.1125,0.2034,0.2057,0.2508,0.2508,0.2855,0.3302,0.3812,0.3812,0.3812
toxsearch_s,4,0.0,0.1125,0.2374,0.2995,0.3359,0.3769,0.3984,0.3984,0.4493,0.4493,0.4493
toxsearch_s,5,0.0,0.1125,0.2667,0.2855,0.339,0.3707,0.3707,0.3707,0.3707,0.3707,0.3758
toxsearch_s,6,0.0,0.1125,0.2151,0.2764,0.2959,0.3183,0.3183,0.3183,0.3183,0.3734,0.3734
toxsearch_s,7,0.0,0.1125,0.2904,0.3048,0.3048,0.3048,0.3561,0.3561,0.361,0.3775,0.3967
