metric,p_kruskal,a,b,p_mwu,p_holm,cliffs_delta_a_vs_b,median_diff_ci_lo_b_minus_a,median_diff_ci_hi_b_minus_a
wall_s,0.00013515464601665026,sequential,parallel_2w,0.0005827505827505828,0.0017482517482517483,1.0,-21422.69,-16783.288250000005
wall_s,0.00013515464601665026,sequential,parallel_4w,0.0005827505827505828,0.0017482517482517483,1.0,-32195.329999999998,-26923.07
wall_s,0.00013515464601665026,parallel_2w,parallel_4w,0.0005827505827505828,0.0017482517482517483,1.0,-11437.34,-9414.1
throughput,0.00013515464601665026,sequential,parallel_2w,0.0005827505827505828,0.0017482517482517483,-1.0,0.016055864083218678,0.01907193567205743
throughput,0.00013515464601665026,sequential,parallel_4w,0.0005827505827505828,0.0017482517482517483,-1.0,0.04241637137444125,0.05192748627613291
throughput,0.00013515464601665026,parallel_2w,parallel_4w,0.0005827505827505828,0.0017482517482517483,-1.0,0.025823985172191102,0.03384199573816526
qmax,0.9292484325430266,sequential,parallel_2w,0.7491276096399462,1.0,-0.12244897959183673,-0.056999999999999995,0.0645
qmax,0.9292484325430266,sequential,parallel_4w,0.8478409541795124,1.0,-0.08163265306122448,-0.06969999999999998,0.0978
qmax,0.9292484325430266,parallel_2w,parallel_4w,1.0,1.0,0.02040816326530612,-0.06609999999999999,0.0867
auc_best_vs_eval,0.05062537167399522,sequential,parallel_2w,0.05303030303030303,0.11363636363636365,-0.6326530612244898,13.614549999999952,145.51594999999998
auc_best_vs_eval,0.05062537167399522,sequential,parallel_4w,0.03787878787878788,0.11363636363636365,-0.673469387755102,20.2641000000001,183.00735000000006
auc_best_vs_eval,0.05062537167399522,parallel_2w,parallel_4w,0.534965034965035,0.534965034965035,-0.22448979591836735,-79.83299999999991,111.52355000000011
final_inter_species_diversity,0.05273446326117291,sequential,parallel_2w,0.026223776223776224,0.07867132867132867,0.7142857142857143,-0.029700000000000004,0.005800000000000027
final_inter_species_diversity,0.05273446326117291,sequential,parallel_4w,0.45571095571095577,0.45571095571095577,0.2653061224489796,-0.013200000000000045,0.009599999999999997
final_inter_species_diversity,0.05273446326117291,parallel_2w,parallel_4w,0.09731934731934733,0.19463869463869465,-0.5510204081632653,-0.0047000000000000375,0.02510000000000001
final_intra_species_diversity,0.20055253727750572,sequential,parallel_2w,1.0,1.0,-0.02040816326530612,-0.008899999999999991,0.017600000000000005
final_intra_species_diversity,0.20055253727750572,sequential,parallel_4w,0.16491841491841494,0.3846153846153847,0.46938775510204084,-0.014399999999999996,0.006699999999999984
final_intra_species_diversity,0.20055253727750572,parallel_2w,parallel_4w,0.12820512820512822,0.3846153846153847,0.5102040816326531,-0.0179,0.0010999999999999899
final_silhouette,0.911408222390493,sequential,parallel_2w,0.6200466200466201,1.0,0.1836734693877551,-0.10769999999999999,0.06589999999999999
final_silhouette,0.911408222390493,sequential,parallel_4w,1.0,1.0,0.02040816326530612,-0.09190000000000001,0.04340000000000002
final_silhouette,0.911408222390493,parallel_2w,parallel_4w,1.0,1.0,-0.02040816326530612,-0.07399999999999998,0.062100000000000016
final_davies_bouldin,0.9529074667812623,sequential,parallel_2w,0.8047785547785549,1.0,-0.10204081632653061,-0.34730000000000016,0.4341999999999999
final_davies_bouldin,0.9529074667812623,sequential,parallel_4w,0.9015151515151516,1.0,-0.061224489795918366,-0.3088000000000002,0.16609999999999991
final_davies_bouldin,0.9529074667812623,parallel_2w,parallel_4w,1.0,1.0,0.02040816326530612,-0.383,0.1177999999999999
final_calinski_harabasz,0.12848436541800326,sequential,parallel_2w,0.09731934731934733,0.291958041958042,0.5510204081632653,-12.437600000000002,2.930900000000001
final_calinski_harabasz,0.12848436541800326,sequential,parallel_4w,0.09731934731934733,0.291958041958042,0.5510204081632653,-9.046000000000001,1.7048000000000005
final_calinski_harabasz,0.12848436541800326,parallel_2w,parallel_4w,0.8047785547785549,0.8047785547785549,-0.10204081632653061,-4.177100000000001,4.885400000000001
