cohort,method,run_id,run_path,run_mode,num_workers
c1,toxsearch_s,20260406_0115,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260406_0115,sequential,1
c1,toxsearch_s,20260407_0142,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_0142,sequential,1
c1,toxsearch_s,20260407_1428,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_1428,sequential,1
c1,toxsearch_s,20260408_0206,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260408_0206,sequential,1
c1,toxsearch_s,20260409_0354,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_0354,sequential,1
c1,toxsearch_s,20260409_1707,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_1707,sequential,1
c1,toxsearch_s,20260410_1929,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260410_1929,sequential,1
c2,toxsearch_s,20260406_0115,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260406_0115,sequential,1
c2,toxsearch_s,20260407_0142,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_0142,sequential,1
c2,toxsearch_s,20260407_1428,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_1428,sequential,1
c2,toxsearch_s,20260408_0206,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260408_0206,sequential,1
c2,toxsearch_s,20260409_0354,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_0354,sequential,1
c2,toxsearch_s,20260409_1707,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_1707,sequential,1
c2,toxsearch_s,20260410_1929,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260410_1929,sequential,1
c2,toxsearch_s_2w,20260407_0817,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260407_0817,parallel,2
c2,toxsearch_s_2w,20260407_1721,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260407_1721,parallel,2
c2,toxsearch_s_2w,20260409_0120,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260409_0120,parallel,2
c2,toxsearch_s_2w,20260410_1709,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260410_1709,parallel,2
c2,toxsearch_s_2w,20260411_0006,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260411_0006,parallel,2
c2,toxsearch_s_2w,20260411_2027,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260411_2027,parallel,2
c2,toxsearch_s_2w,20260412_1345,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260412_1345,parallel,2
