topics_total,topics_survived,survival_rate,extinction_rate,evaluator,policy,kept_size,k,n_f0,population
9,1,0.1111,0.8889,google,scalar,100,100,100,full
9,4,0.4444,0.5556,google,global_mo,100,100,100,full
9,9,1.0,0.0,google,speciated_oracle,102,100,100,full
9,1,0.1111,0.8889,openai,scalar,144,144,144,full
9,5,0.5556,0.4444,openai,global_mo,144,144,144,full
9,9,1.0,0.0,openai,speciated_oracle,72,144,144,full
9,1,0.1111,0.8889,google,scalar,42,42,42,elites
9,4,0.4444,0.5556,google,global_mo,42,42,42,elites
9,9,1.0,0.0,google,speciated_oracle,102,42,42,elites
9,1,0.1111,0.8889,openai,scalar,45,45,45,elites
9,6,0.6667,0.3333,openai,global_mo,45,45,45,elites
9,9,1.0,0.0,openai,speciated_oracle,72,45,45,elites
9,1,0.1111,0.8889,google,scalar,100,100,100,no_reserves
9,4,0.4444,0.5556,google,global_mo,100,100,100,no_reserves
9,9,1.0,0.0,google,speciated_oracle,102,100,100,no_reserves
9,1,0.1111,0.8889,openai,scalar,144,144,144,no_reserves
9,5,0.5556,0.4444,openai,global_mo,144,144,144,no_reserves
9,9,1.0,0.0,openai,speciated_oracle,72,144,144,no_reserves
